id,created_at,state,product_code,description,units,price_jpy,discount_jpy,delivery_jpy,tax_jpy
H-00001,2025-09-10T00:00:00+0000,void,P-004,Synthetic Product 04,4,1500,200,450,600
H-00002,2025-09-21T00:00:00+0000,fulfilled,P-011,Synthetic Product 11,5,2725,0,0,1362
H-00003,2025-10-02T00:00:00+0000,fulfilled,P-018,Synthetic Product 18,1,3950,0,0,395
H-00004,2025-10-13T00:00:00+0000,fulfilled,P-001,Synthetic Product 01,2,975,0,0,195
H-00005,2025-10-24T00:00:00+0000,fulfilled,P-008,Synthetic Product 08,3,2200,0,450,660
H-00006,2025-11-04T00:00:00+0000,fulfilled,P-015,Synthetic Product 15,4,3425,0,0,1370
H-00007,2025-11-15T00:00:00+0000,fulfilled,P-022,Synthetic Product 22,5,4650,0,0,2325
H-00008,2025-11-26T00:00:00+0000,fulfilled,P-005,Synthetic Product 05,1,1675,0,0,168
H-00009,2025-12-07T00:00:00+0000,fulfilled,P-012,Synthetic Product 12,2,2900,0,450,580
H-00010,2025-12-18T00:00:00+0000,fulfilled,P-019,Synthetic Product 19,3,4125,200,0,1238
H-00011,2025-12-29T00:00:00+0000,fulfilled,P-002,Synthetic Product 02,4,1150,0,0,460
H-00012,2026-01-09T00:00:00+0000,fulfilled,P-009,Synthetic Product 09,5,2375,0,0,1188
H-00013,2026-01-20T00:00:00+0000,fulfilled,P-016,Synthetic Product 16,1,3600,0,450,360
H-00014,2026-01-31T00:00:00+0000,fulfilled,P-023,Synthetic Product 23,2,4825,0,0,965
H-00015,2026-02-11T00:00:00+0000,fulfilled,P-006,Synthetic Product 06,3,1850,0,0,555
H-00016,2026-02-22T00:00:00+0000,fulfilled,P-013,Synthetic Product 13,4,3075,0,0,1230
H-00017,2026-03-05T00:00:00+0000,fulfilled,P-020,Synthetic Product 20,5,4300,0,450,2150
H-00018,2026-03-16T00:00:00+0000,fulfilled,P-003,Synthetic Product 03,1,1325,0,0,132
H-00019,2026-03-27T00:00:00+0000,fulfilled,P-010,Synthetic Product 10,2,2550,200,0,510
