order_no,order_date,status,sku,item,qty,unit_price,discount,shipping,tax
N-00001,2025-09-04,cancelled,P-002,Synthetic Product 02,2,1150,200,450,230
N-00002,2025-09-15,paid,P-009,Synthetic Product 09,3,2375,0,0,712
N-00003,2025-09-26,paid,P-016,Synthetic Product 16,4,3600,0,0,1440
N-00004,2025-10-07,paid,P-023,Synthetic Product 23,5,4825,0,0,2412
N-00005,2025-10-18,paid,P-006,Synthetic Product 06,1,1850,0,450,185
N-00006,2025-10-29,paid,P-013,Synthetic Product 13,2,3075,0,0,615
N-00007,2025-11-09,paid,P-020,Synthetic Product 20,3,4300,0,0,1290
N-00008,2025-11-20,paid,P-003,Synthetic Product 03,4,1325,0,0,530
N-00009,2025-12-01,paid,P-010,Synthetic Product 10,5,2550,0,450,1275
N-00010,2025-12-12,paid,P-017,Synthetic Product 17,1,3775,200,0,378
N-00011,2025-12-23,paid,P-024,Synthetic Product 24,2,5000,0,0,1000
N-00012,2026-01-03,paid,P-007,Synthetic Product 07,3,2025,0,0,608
N-00013,2026-01-14,paid,P-014,Synthetic Product 14,4,3250,0,450,1300
N-00014,2026-01-25,paid,P-021,Synthetic Product 21,5,4475,0,0,2238
N-00015,2026-02-05,paid,P-004,Synthetic Product 04,1,1500,0,0,150
N-00016,2026-02-16,paid,P-011,Synthetic Product 11,2,2725,0,0,545
N-00017,2026-02-27,paid,P-018,Synthetic Product 18,3,3950,0,450,1185
N-00018,2026-03-10,paid,P-001,Synthetic Product 01,4,975,0,0,390
N-00019,2026-03-21,paid,P-008,Synthetic Product 08,5,2200,200,0,1100
N-00020,2026-04-01,paid,P-015,Synthetic Product 15,1,3425,0,0,342
N-00021,2026-04-12,paid,P-022,Synthetic Product 22,2,4650,0,450,930
N-00022,2026-04-23,paid,P-005,Synthetic Product 05,3,1675,0,0,502
N-00023,2026-05-04,paid,P-012,Synthetic Product 12,4,2900,0,0,1160
N-00024,2026-05-15,paid,P-019,Synthetic Product 19,5,4125,0,0,2062
N-00025,2026-05-26,paid,P-002,Synthetic Product 02,1,1150,0,450,115
N-00026,2026-06-06,paid,P-009,Synthetic Product 09,2,2375,0,0,475
N-00027,2026-06-17,paid,P-016,Synthetic Product 16,3,3600,0,0,1080
N-00028,2026-06-28,paid,P-023,Synthetic Product 23,4,4825,200,0,1930
N-00029,2026-07-09,paid,P-006,Synthetic Product 06,5,1850,0,450,925
N-00030,2026-07-20,paid,P-013,Synthetic Product 13,1,3075,0,0,308
N-00031,2026-07-31,paid,P-020,Synthetic Product 20,2,4300,0,0,860
N-00032,2026-08-11,paid,P-003,Synthetic Product 03,3,1325,0,0,398
N-00033,2026-08-22,paid,P-010,Synthetic Product 10,4,2550,0,450,1020
N-00034,2025-09-02,paid,P-017,Synthetic Product 17,5,3775,0,0,1888
N-00035,2025-09-13,paid,P-024,Synthetic Product 24,1,5000,0,0,500
N-00036,2025-09-24,paid,P-007,Synthetic Product 07,2,2025,0,0,405
N-00037,2025-10-05,paid,P-014,Synthetic Product 14,3,3250,200,450,975
N-00038,2025-10-16,paid,P-021,Synthetic Product 21,4,4475,0,0,1790
N-00039,2025-10-27,paid,P-004,Synthetic Product 04,5,1500,0,0,750
N-00040,2025-11-07,paid,P-011,Synthetic Product 11,1,2725,0,0,272
N-00041,2025-11-18,paid,P-018,Synthetic Product 18,2,3950,0,450,790
N-00042,2025-11-29,cancelled,P-001,Synthetic Product 01,3,975,0,0,292
N-00043,2025-12-10,paid,P-008,Synthetic Product 08,4,2200,0,0,880
N-00044,2025-12-21,paid,P-015,Synthetic Product 15,5,3425,0,0,1712
N-00045,2026-01-01,paid,P-022,Synthetic Product 22,1,4650,0,450,465
N-00046,2026-01-12,paid,P-005,Synthetic Product 05,2,1675,200,0,335
N-00047,2026-01-23,paid,P-012,Synthetic Product 12,3,2900,0,0,870
N-00048,2026-02-03,paid,P-019,Synthetic Product 19,4,4125,0,0,1650
N-00049,2026-02-14,paid,P-002,Synthetic Product 02,5,1150,0,450,575
N-00050,2026-02-25,paid,P-009,Synthetic Product 09,1,2375,0,0,238
N-00051,2026-03-08,paid,P-016,Synthetic Product 16,2,3600,0,0,720
N-00052,2026-03-19,paid,P-023,Synthetic Product 23,3,4825,0,0,1448
N-00053,2026-03-30,paid,P-006,Synthetic Product 06,4,1850,0,450,740
N-00054,2026-04-10,paid,P-013,Synthetic Product 13,5,3075,0,0,1538
N-00055,2026-04-21,paid,P-020,Synthetic Product 20,1,4300,200,0,430
N-00056,2026-05-02,paid,P-003,Synthetic Product 03,2,1325,0,0,265
