注文番号,注文日,状態,商品コード,商品名,個数,販売単価,クーポン,送料,消費税
S-00001,2025/09/07,キャンセル,P-003,Synthetic Product 03,3,1325,200,450,398
S-00002,2025/09/18,発送済,P-010,Synthetic Product 10,4,2550,0,0,1020
S-00003,2025/09/29,発送済,P-017,Synthetic Product 17,5,3775,0,0,1888
S-00004,2025/10/10,発送済,P-024,Synthetic Product 24,1,5000,0,0,500
S-00005,2025/10/21,発送済,P-007,Synthetic Product 07,2,2025,0,450,405
S-00006,2025/11/01,発送済,P-014,Synthetic Product 14,3,3250,0,0,975
S-00007,2025/11/12,発送済,P-021,Synthetic Product 21,4,4475,0,0,1790
S-00008,2025/11/23,発送済,P-004,Synthetic Product 04,5,1500,0,0,750
S-00009,2025/12/04,発送済,P-011,Synthetic Product 11,1,2725,0,450,272
S-00010,2025/12/15,発送済,P-018,Synthetic Product 18,2,3950,200,0,790
S-00011,2025/12/26,発送済,P-001,Synthetic Product 01,3,975,0,0,292
S-00012,2026/01/06,発送済,P-008,Synthetic Product 08,4,2200,0,0,880
S-00013,2026/01/17,発送済,P-015,Synthetic Product 15,5,3425,0,450,1712
S-00014,2026/01/28,発送済,P-022,Synthetic Product 22,1,4650,0,0,465
S-00015,2026/02/08,発送済,P-005,Synthetic Product 05,2,1675,0,0,335
S-00016,2026/02/19,発送済,P-012,Synthetic Product 12,3,2900,0,0,870
S-00017,2026/03/02,発送済,P-019,Synthetic Product 19,4,4125,0,450,1650
S-00018,2026/03/13,発送済,P-002,Synthetic Product 02,5,1150,0,0,575
S-00019,2026/03/24,発送済,P-009,Synthetic Product 09,1,2375,200,0,238
S-00020,2026/04/04,発送済,P-016,Synthetic Product 16,2,3600,0,0,720
S-00021,2026/04/15,発送済,P-023,Synthetic Product 23,3,4825,0,450,1448
S-00022,2026/04/26,発送済,P-006,Synthetic Product 06,4,1850,0,0,740
S-00023,2026/05/07,発送済,P-013,Synthetic Product 13,5,3075,0,0,1538
S-00024,2026/05/18,発送済,P-020,Synthetic Product 20,1,4300,0,0,430
S-00025,2026/05/29,発送済,P-003,Synthetic Product 03,2,1325,0,450,265
S-00026,2026/06/09,発送済,P-010,Synthetic Product 10,3,2550,0,0,765
S-00027,2026/06/20,発送済,P-017,Synthetic Product 17,4,3775,0,0,1510
S-00028,2026/07/01,発送済,P-024,Synthetic Product 24,5,5000,200,0,2500
S-00029,2026/07/12,発送済,P-007,Synthetic Product 07,1,2025,0,450,202
S-00030,2026/07/23,発送済,P-014,Synthetic Product 14,2,3250,0,0,650
S-00031,2026/08/03,発送済,P-021,Synthetic Product 21,3,4475,0,0,1342
S-00032,2026/08/14,発送済,P-004,Synthetic Product 04,4,1500,0,0,600
S-00033,2026/08/25,発送済,P-011,Synthetic Product 11,5,2725,0,450,1362
S-00034,2025/09/05,発送済,P-018,Synthetic Product 18,1,3950,0,0,395
S-00035,2025/09/16,発送済,P-001,Synthetic Product 01,2,975,0,0,195
S-00036,2025/09/27,発送済,P-008,Synthetic Product 08,3,2200,0,0,660
S-00037,2025/10/08,発送済,P-015,Synthetic Product 15,4,3425,200,450,1370
S-00038,2025/10/19,発送済,P-022,Synthetic Product 22,5,4650,0,0,2325
S-00039,2025/10/30,発送済,P-005,Synthetic Product 05,1,1675,0,0,168
S-00040,2025/11/10,発送済,P-012,Synthetic Product 12,2,2900,0,0,580
S-00041,2025/11/21,発送済,P-019,Synthetic Product 19,3,4125,0,450,1238
S-00042,2025/12/02,キャンセル,P-002,Synthetic Product 02,4,1150,0,0,460
S-00043,2025/12/13,発送済,P-009,Synthetic Product 09,5,2375,0,0,1188
S-00044,2025/12/24,発送済,P-016,Synthetic Product 16,1,3600,0,0,360
S-00045,2026/01/04,発送済,P-023,Synthetic Product 23,2,4825,0,450,965
S-00046,2026/01/15,発送済,P-006,Synthetic Product 06,3,1850,200,0,555
S-00047,2026/01/26,発送済,P-013,Synthetic Product 13,4,3075,0,0,1230
S-00048,2026/02/06,発送済,P-020,Synthetic Product 20,5,4300,0,0,2150
S-00049,2026/02/17,発送済,P-003,Synthetic Product 03,1,1325,0,450,132
S-00050,2026/02/28,発送済,P-010,Synthetic Product 10,2,2550,0,0,510
S-00051,2026/03/11,発送済,P-017,Synthetic Product 17,3,3775,0,0,1132
S-00052,2026/03/22,発送済,P-024,Synthetic Product 24,4,5000,0,0,2000
S-00053,2026/04/02,発送済,P-007,Synthetic Product 07,5,2025,0,450,1012
S-00054,2026/04/13,発送済,P-014,Synthetic Product 14,1,3250,0,0,325
S-00055,2026/04/24,発送済,P-021,Synthetic Product 21,2,4475,200,0,895
S-00056,2026/05/05,発送済,P-004,Synthetic Product 04,3,1500,0,0,450
S-00057,2026/05/16,発送済,P-011,Synthetic Product 11,4,2725,0,450,1090
S-00058,2026/05/27,発送済,P-018,Synthetic Product 18,5,3950,0,0,1975
S-00059,2026/06/07,発送済,P-001,Synthetic Product 01,1,975,0,0,98
S-00060,2026/06/18,発送済,P-008,Synthetic Product 08,2,2200,0,0,440
S-00061,2026/06/29,発送済,P-015,Synthetic Product 15,3,3425,0,450,1028
S-00062,2026/07/10,発送済,P-022,Synthetic Product 22,4,4650,0,0,1860
S-00063,2026/07/21,発送済,P-005,Synthetic Product 05,5,1675,0,0,838
S-00064,2026/08/01,発送済,P-012,Synthetic Product 12,1,2900,200,0,290
